"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"01","000","01","0001","001",1,20,0.77,"*"
"01","000","01","0001","001",2,12,0.46,"*"
"01","000","01","0001","001",3,996,38.75,"*"
"01","000","01","0001","001",4,314,12.21,"*"
"01","000","01","0001","001",5,964,37.5,"*"
"01","000","01","0001","001",6,56,2.17,"*"
"01","000","01","0001","001",7,20,0.77,"*"
"01","000","01","0001","001",8,71,2.76,"*"
"01","000","01","0001","001",9,110,4.28,"*"
"01","000","01","0001","001",10,3,0.11,"*"
"01","000","01","0001","001",11,4,0.15,"*"
"01","000","01","0002","001",1,15,0.52,"*"
"01","000","01","0002","001",2,3,0.1,"*"
"01","000","01","0002","001",3,1040,36.5,"*"
"01","000","01","0002","001",4,316,11.09,"*"
"01","000","01","0002","001",5,1178,41.34,"*"
"01","000","01","0002","001",6,58,2.03,"*"
"01","000","01","0002","001",7,17,0.59,"*"
"01","000","01","0002","001",8,80,2.8,"*"
"01","000","01","0002","001",9,134,4.7,"*"
"01","000","01","0002","001",10,2,0.07,"*"
"01","000","01","0002","001",11,6,0.21,"*"
"01","000","01","0003","001",1,14,0.4,"*"
"01","000","01","0003","001",2,13,0.37,"*"
"01","000","01","0003","001",3,1272,36.42,"*"
"01","000","01","0003","001",4,316,9.04,"*"
"01","000","01","0003","001",5,1507,43.15,"*"
"01","000","01","0003","001",6,63,1.8,"*"
"01","000","01","0003","001",7,24,0.68,"*"
"01","000","01","0003","001",8,101,2.89,"*"
"01","000","01","0003","001",9,172,4.92,"*"
"01","000","01","0003","001",10,7,0.2,"*"
"01","000","01","0003","001",11,3,0.08,"*"
"01","000","01","0004","001",1,52,1.15,"*"
"01","000","01","0004","001",2,18,0.4,"*"
"01","000","01","0004","001",3,1500,33.4,"*"
"01","000","01","0004","001",4,404,8.99,"*"
"01","000","01","0004","001",5,1999,44.51,"*"
"01","000","01","0004","001",6,124,2.76,"*"
"01","000","01","0004","001",7,30,0.66,"*"
"01","000","01","0004","001",8,89,1.98,"*"
"01","000","01","0004","001",9,258,5.74,"*"
"01","000","01","0004","001",10,7,0.15,"*"
"01","000","01","0004","001",11,10,0.22,"*"
"01","000","01","0005","001",1,25,0.56,"*"
"01","000","01","0005","001",2,16,0.35,"*"
"01","000","01","0005","001",3,1446,32.41,"*"
"01","000","01","0005","001",4,395,8.85,"*"
"01","000","01","0005","001",5,2065,46.29,"*"
"01","000","01","0005","001",6,124,2.77,"*"
"01","000","01","0005","001",7,30,0.67,"*"
"01","000","01","0005","001",8,115,2.57,"*"
"01","000","01","0005","001",9,237,5.31,"*"
"01","000","01","0005","001",10,1,0.02,"*"
"01","000","01","0005","001",11,7,0.15,"*"
"01","000","01","0006","001",1,44,0.9,"*"
"01","000","01","0006","001",2,14,0.28,"*"
"01","000","01","0006","001",3,1463,30.1,"*"
"01","000","01","0006","001",4,410,8.43,"*"
"01","000","01","0006","001",5,2281,46.94,"*"
"01","000","01","0006","001",6,188,3.86,"*"
"01","000","01","0006","001",7,21,0.43,"*"
"01","000","01","0006","001",8,176,3.62,"*"
"01","000","01","0006","001",9,249,5.12,"*"
"01","000","01","0006","001",10,9,0.18,"*"
"01","000","01","0006","001",11,4,0.08,"*"
"01","000","01","0007","001",1,50,1.03,"*"
"01","000","01","0007","001",2,18,0.37,"*"
"01","000","01","0007","001",3,1476,30.45,"*"
"01","000","01","0007","001",4,434,8.95,"*"
"01","000","01","0007","001",5,2283,47.11,"*"
"01","000","01","0007","001",6,131,2.7,"*"
"01","000","01","0007","001",7,39,0.8,"*"
"01","000","01","0007","001",8,152,3.13,"*"
"01","000","01","0007","001",9,248,5.11,"*"
"01","000","01","0007","001",10,7,0.14,"*"
"01","000","01","0007","001",11,8,0.16,"*"
"01","000","01","0008","001",1,33,0.66,"*"
"01","000","01","0008","001",2,15,0.3,"*"
"01","000","01","0008","001",3,1455,29.12,"*"
"01","000","01","0008","001",4,472,9.44,"*"
"01","000","01","0008","001",5,2357,47.18,"*"
"01","000","01","0008","001",6,190,3.8,"*"
"01","000","01","0008","001",7,34,0.68,"*"
"01","000","01","0008","001",8,153,3.06,"*"
"01","000","01","0008","001",9,274,5.48,"*"
