published,基隆市,新北市,臺北市,桃園市,宜蘭縣,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,臺東縣,花蓮縣,連江縣,澎湖縣,金門縣,update_time,backlog
2020-01-01~2020-12-31,1,18,8,15,0,0,3,0,5,1,4,0,0,0,1,0,0,0,0,0,0,0,,
2021-01-01~2021-05-15,2,114,109,42,13,-2,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,,
2021-05-16,2,97,89,2,3,3,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,,
2021-05-17,6,148,158,10,2,1,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2021/05/18 04:46 AM,
2021-05-18,3,106,102,12,0,2,1,0,0,0,10,1,0,0,0,3,0,0,0,0,0,0,,
2021-05-19,4,129,70,16,3,0,2,0,5,0,28,0,0,0,2,8,0,0,0,0,0,0,,
2021-05-20,5,157,87,17,8,0,1,0,2,0,6,1,0,0,0,2,0,0,0,0,0,0,,
2021-05-21,9,144,127,13,2,0,0,0,5,1,5,1,0,0,0,4,1,0,0,0,0,0,2021/05/21 02:30 PM,
2021-05-22,9,384,269,20,3,2,3,1,11,1,4,1,0,0,1,4,5,0,3,0,0,0,2021/05/22 02:20 PM,y
2021-05-23,5,142,77,23,6,1,1,0,5,8,5,1,1,1,2,0,8,0,1,0,0,0,2021/05/23 02:20 PM,y
2021-05-24,7,276,247,25,0,1,0,2,8,1,12,0,0,0,3,5,3,0,0,0,0,0,2021/05/24 03:00 PM,y
2021-05-16~2021-05-24,3,89,155,5,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,y
2021-05-25,10,154,49,16,3,1,4,2,9,2,10,1,0,0,10,3,4,2,1,0,0,0,2021/05/25 02:20 PM,n
2021-05-17~2021-05-25,2,102,221,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021-05-26,13,152,87,21,2,4,0,0,9,0,2,2,0,1,2,2,2,1,1,1,0,0,2021/05/26 02:20 PM,n
2021-05-17~2021-05-26,2,146,101,4,5,0,0,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,,
2021-05-27,15,177,130,18,5,5,0,1,7,1,10,1,0,2,0,14,3,4,6,2,0,0,2021/05/27 02:38 PM,n
2021-05-16~2021-05-28,0,141,114,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
2021-05-28,6,136,94,21,0,1,0,0,10,1,7,0,0,2,6,1,1,1,9,0,0,0,2021/05/28 02:24 PM,n
2021-05-22~2021-05-28,4,82,62,5,1,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021-05-29,10,142,106,14,4,2,1,1,23,0,2,1,4,0,0,1,0,5,4,0,0,0,2021/05/29 02:30 PM,n
2021-05-25~2021-05-29,0,67,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
2021-05-30,8,126,66,22,1,0,1,9,9,4,9,0,3,0,1,0,0,1,5,1,0,0,2021/05/30 02:30 PM,n
2021-05-16~2021-05-30,0,45,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021-05-31,3,126,95,26,0,1,2,3,5,0,10,0,0,0,0,1,0,0,1,0,1,0,2021/05/31 02:20 PM,n
2021-05-23~2021-05-30,0,39,19,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021-06-01,8,127,68,20,3,1,0,0,10,0,12,0,4,0,1,1,0,3,3,0,1,0,2021/06/01 02:20 PM,n
2021-06-02,18,310,152,28,0,2,1,12,3,1,10,0,0,0,2,5,0,4,1,0,0,0,2021/06/02 02:43 PM,y
2021-06-03,4,265,224,30,1,0,1,34,5,0,15,0,0,0,2,1,0,0,1,0,0,0,2021/06/03 02:39 PM,y
2021-06-04,7,227,152,11,1,1,2,51,7,2,6,1,1,0,0,1,1,0,1,0,0,0,2021/06/04 02:32 PM,y
2021-06-05,13,229,144,16,0,7,1,66,9,3,11,1,3,0,1,3,4,0,0,0,0,0,2021/06/05 02:30 PM,y
2021-06-06,2,160,64,16,9,3,0,75,2,0,3,3,0,1,2,3,0,0,0,0,0,0,2021/06/06 02:41 PM,y
2021-06-07,3,82,60,3,1,1,3,45,0,0,8,0,1,0,0,0,1,0,0,0,3,0,2021/06/07 02:40 PM,n
2021-06-08,8,123,54,13,0,0,1,16,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2021/06/08 02:50 PM,n
2021-06-09,10,162,63,15,2,1,0,12,1,3,3,0,0,1,1,0,0,0,0,0,0,0,2021/06/09 02:40 PM,n
2021-06-10,12,112,58,14,1,2,0,43,0,2,10,0,0,0,1,0,0,1,7,0,0,0,2021/06/10 02:40 PM,n
2021-06-11,8,120,49,19,3,12,3,56,4,0,7,2,0,0,1,0,0,0,2,0,0,0,2021/06/11 02:40 PM,n
2021-06-12,16,133,65,13,2,1,2,9,2,0,2,1,0,0,0,1,0,0,3,0,0,0,2021/06/12 02:20 PM,n
2021-06-13,7,81,62,16,0,2,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,2021/06/13 02:30 PM,n
2021-06-14,14,98,42,10,2,3,0,7,1,0,3,1,0,0,0,0,0,0,4,0,0,0,2021/06/14 03:00 PM,n
2021-06-15,3,65,26,12,0,0,0,18,2,0,1,0,1,0,2,0,0,0,2,0,0,0,2021/06/15 03:44 PM,n
2021-06-16,2,65,50,14,0,5,0,21,1,0,0,0,0,0,0,1,0,0,8,0,0,0,2021/06/16 03:10 PM,n
2021-06-17,2,87,34,7,0,10,0,31,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2021/06/17 02:10 PM,n
2021-06-18,4,76,71,6,0,1,0,26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2021/06/18 03:10 PM,n
2021-06-19,2,81,30,8,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021/06/19 02:19 PM,n
